TRANSCOUNTY_MAIN,TRANSCOUNTY_ANNEX,PEAKFARM,MAIN_BRANCH,ANNEX,TOGETHER_MAIN,HIGHWAY_BRANCH,KITALE_BRANCH,KIPKORGOT,Teleview,MainBranch,MAIN
20,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
100,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
20,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
100,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
10,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
25,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
10,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
20,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
5,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
15,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
2,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
25,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
100,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29
0,0,0,NULL,NULL,100,NULL,NULL,NULL,NULL,NULL,0
0,0,0,NULL,NULL,20,NULL,NULL,NULL,NULL,NULL,0
0,0,0,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,0
90,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
1000,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,72,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,250,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,250,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,250,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
5,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,0,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,0
0,0,0,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL,0
0,0,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,150,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,250,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,1000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,1500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,750,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,125,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,250,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,125,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,250,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,125,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,250,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
0,0,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
